OGC_FID,GEOMETRY,id,name,beschr,datierung,quelle,bz,ez,klassen,typ,lageq,zs1,zs2,zs3,zs4,bewertung,chronocode,texte,plan,ag,nuts3,nuts0,nr_ag,x,y
0,,5,"Saal, Lkr. Vorpommern-Rügen (Mecklenburg-Vorpommern) ",,Jungbronzezeit,"Dräger 2014, Nr. 5",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,729696.977978,6019700.555540
1,,6,"Stubnitz 3, Lkr. Vorpommern-Rügen (Mecklenburg-Vorpommern) ",,Jungbronzezeit,"Dräger 2014, Nr. 6
",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,802545.923270,6051974.392274
2,,4,"Willershusen, Lkr. Vorpommern-Rügen (Mecklenburg-Vorpommern)
",,Jungbronzezeit,"Dräger  2014, Nr. 4",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,775429.209490,6004381.255827
3,,58,"Lubin, pow. Kamieński (woj. Zachodniopomorskie)
",,Ha C/D,"Dräger 2014, Nr. 58;  Wesolowski 1996; Koepke 1995, Nr. 36",0,3,Lausitzer Burg,,1,0.000000,2.000000,2.000000,0.000000,3,0,,,1,,,1,858461.839978,5984215.119907
4,,1,"Garz, Lkr. Vorpommern-Greifswald (Mecklenburg-Vorpommern)
",,Früheisenzeit,"Dräger 2014, Nr. 1",0,3,Lausitzer Burg,,1,0.000000,0.000000,3.000000,0.000000,3,0,,,1,,,1,842409.244239,5983561.415413
5,,2,"Basedow, Lkr. Mecklenburgische Seenplatte
(Mecklenburg-Vorpommern)
",,Früheisenzeit,"Dräger 2014, Nr. 2",0,3,Lausitzer Burg,,1,0.000000,0.000000,3.000000,0.000000,3,0,,,1,,,1,741646.511380,5955601.059940
6,,3,"Kratzeburg, Lkr. Mecklenburgische Seenplatte
(Mecklenburg-Vorpommern)
",,Jungbronzezeit,"Dräger 2014, Nr. 3",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,762866.014775,5929490.438018
7,,7,"Gühlen-Glienicke, Lkr. Ostprignitz-Ruppin (Brandenburg)
",,Jungbronzezeit,"Dräger 2014, Nr. 7",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,758498.115637,5880385.266071
8,,59,"Swobnica, pow. Gryfiński (woj. Zachodniopomorskie)
",,Jungbronzezeit,"Dräger 2014, Nr. 59; Koepke 1995, Nr. 65",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,881070.863347,5924362.105605
9,,57,"Kamieniec, pow. Policki (woj. Zachodniopomorskie)
",,Früheisenzeit,"Dräger 2014, Nr. 57; Koepke 1995, Nr. 24",0,3,Lausitzer Burg,,1,0.000000,0.000000,3.000000,0.000000,3,0,,,1,,,1,846996.878065,5903948.399485
10,,56,"Cedynia, pow. Gryfiński (woj. Zachodniopomorskie)
",,Ha C/D,"Dräger 2014, Nr. 56; Wesolowski 1996; Koepke 1995, Nr. 9",0,3,Lausitzer Burg,,1,0.000000,2.000000,2.000000,0.000000,3,0,,,1,,,1,851893.902020,5870677.997326
11,,60,"Myślibórz, pow. Myślibórz (woj. Zachodniopomorskie)
",,Ha C/D,"Dräger 2014, Nr. 60; Wesolowski 1996; Prahistoria ziem polskich IV, Nr. 183",0,3,Lausitzer Burg,,1,0.000000,2.000000,2.000000,0.000000,3,0,,,1,,,1,912187.972391,5871516.352619
12,,8,"Görne, Lkr. Havelland (Brandenburg)
",,Jungbronzezeit,"Dräger 2014, Nr. 8",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,733451.061133,5844642.902117
13,,9,"Potsdam-Sacrow (Brandenburg)
",,Jungbronzezeit,"Dräger 2014, Nr. 9; Koepke 1995, Nr. 56",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,781895.206028,5826952.571956
14,,11,"Schlalach, Lkr. Potsdam-Mittelmark (Brandenburg)
",,Jungbronzezeit,"Dräger 2014, Nr. 11",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,760304.450414,5791504.812237
15,,10,"Belzig, Lkr. Potsdam-Mittelmark (Brandenburg)
",,Früheisenzeit,"Dräger 2014, Nr. 10; Koepke 1995, Nr. 3",0,3,Lausitzer Burg,,1,0.000000,0.000000,3.000000,0.000000,3,0,,,1,,,1,728803.370120,5782584.265789
16,,12,"Krakau, Lkr. Wittenberg (Sachsen-Anhalt)
",,Früheisenzeit,"Dräger 2014, Nr. 12; Koepke 1995, Nr. 30",0,3,Lausitzer Burg,,1,0.000000,0.000000,3.000000,0.000000,3,0,,,1,,,1,720149.931635,5760145.125094
17,,53,"Lebus, Lkr. Märkisch-Oderland (Brandenburg)
",,Jungbronzezeit u. Früheisenzeit,"Dräger 2014, Nr. 53; Koepke 1995, Nr. 33",3,3,Lausitzer Burg,,1,0.000000,2.000000,2.000000,0.000000,3,0,,,1,,,1,876236.447338,5822885.195718
18,,52,"Lossow, OT Frankfurt an der Oder (Brandenburg)
",,Jungbronzezeit u. Früheisenzeit,"Dräger 2014, Nr. 52; Koepke 1995, Nr. 34",3,3,Lausitzer Burg,,1,0.000000,2.000000,2.000000,0.000000,3,0,,,1,,,1,879784.742964,5807652.015342
19,,13,"Dingelstedt, Lkr. Harz (Sachsen-Anhalt)
",,Früheisenzeit,"Dräger 2014, Nr. 13; Koepke 1995, Nr. 55",0,3,Lausitzer Burg,,1,0.000000,0.000000,3.000000,0.000000,3,0,,,1,,,1,633935.135876,5759338.327740
20,,14,"Queste, Lkr. Mansfeld-Südharz (Sachsen-Anhalt)
",,Jungbronzezeit,"Dräger 2014, Nr. 14",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,608318.354467,5723606.751460
21,,15,"Arnsberg, Lkr, Mansfeld-Südharz (Sachsen-Anhalt)
",,Jungbronzezeit,"Dräger 2014, Nr. 15; Koepke 1995, Nr. 54",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,618688.973796,5725160.782324
22,,16,"Kyffhäuser, Kyffhäuserkreis (Thüringen)
",,Früheisenzeit,"Dräger 2014, Nr. 16; Koepke 1995, Nr. 32",0,3,Lausitzer Burg,,1,0.000000,0.000000,3.000000,0.000000,3,0,,,1,,,1,623137.967884,5713627.723094
23,,17,"Kohnstein, Lkr. Nordhausen (Thüringen)
",,Jungbronzezeit,"Dräger 2014, Nr. 17
",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,631540.852813,5670918.598521
24,,18,"Sachsenburg, Lkr. Kyffhäuserkreis (Thüringen)
",,Jungbronzezeit,"Dräger 2014, Nr. 18",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,649393.498639,5675179.417707
25,,19,"Großer und Kleiner Gleichberg bei Römhild, Lkr. Hildburg-
hausen (Thüringen)
",,Jungbronzezeit,"Dräger 2014, Nr. 19; Koepke 1995, Nr. 26",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,0,,,0,607005.912712,5594036.824274
26,,20,"Oberpreilipp, Lkr. Saalfeld-Rudolstadt (Thüringen)
",,Jungbronzezeit,"Dräger 2014, Nr. 20; Koepke 1995, Nr. 43",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,672580.135357,5614054.226504
27,,22,"Kahla-Löbschütz, Saale-Holzland-Kreis (Thüringen)
",,Jungbronzezeit,"Dräger 2014, Nr. 22",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,674458.443756,5625410.582531
28,,21,"Öpitz, Saale-Orla-Kreis (Thüringen)
",,Jungbronzezeit u. Früheisenzeit,"Dräger 2014, Nr. 21; Peschel 1999, Nr. 23",3,3,Lausitzer Burg,,1,0.000000,2.000000,2.000000,0.000000,3,0,,,1,,,1,687387.113385,5612987.690336
29,,24,"Jena-Lobeda (Thüringen)
",,Jungbronzezeit,"Dräger 2014, Nr. 24; Peschel 1999, Nr. 19; Koepke 1995, Nr. 21",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,686025.977134,5634516.589968
30,,25,"Jenzig bei Jena (Thüringen)
",,Jungbronzezeit,"Dräger 2014, Nr. 25; Peschel 1999, Nr. 16; Koepke 1995, Nr. 22",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,686697.961347,5640123.495259
31,,23,"Pöhl, Lkr. Vogtlandkreis (Sachsen)
",,"Früheisenzeit; Ha A2/B1, Ha C1, Ha D3/Lt A","Dräger 2014, Nr. 23; Jockenhövel u. Simon 1999, Nr. 12",0,3,Lausitzer Burg,,1,0.000000,3.000000,3.000000,0.000000,3,0,,,1,,,1,725921.376779,5607687.546737
32,,113,"Okrouhlé Hradiště, okr. Tachov (Plzeňský kraj)
",,Jungbronzezeit,"Dräger 2014, Nr. 113",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,0,,,0,760937.444495,5560956.344881
34,,62,"Krosno Odrzańskie, pow. Krośnieński (woj. Lubuskie)
",,Früheisenzeit,"Dräger 2014, Nr. 62; Koepke 1995, Nr. 31",0,3,Lausitzer Burg,,1,0.000000,0.000000,3.000000,0.000000,3,0,,,1,,,1,916281.261112,5780232.193084
36,,54,"Burg, Lkr. Spree-Neiße (Brandenburg)
",,Jungbronzezeit,"Dräger 2014, Nr. 54; Koepke 1995, Nr. 8",3,0,Lausitzer Burg,,1,0.000000,3.000000,0.000000,0.000000,3,0,,,1,,,1,859050.051367,5759353.930605
37,,55,"Lübbenau, Lkr. Oberspreewald-Lausitz (Brandenburg)
",,Jungbronzezeit,"Dräger 2014, Nr. 55; Koepke 1995, Nr. 35",3,0,Lausitzer Burg,,1,0.000000,2.000000,2.000000,0.000000,3,0,,,1,,,1,850514.622546,5760753.544256
